(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
אום אל-פחם,2710,11,11,3760,,,2,מוסלמים,101.8,,,42.2,54.4,3.4,838.2,24,24,24,50.9,93.7,,,,,,,,,,,24,26,22,2.5,6.1,37,17.5,60.4,85.5,14.5,37.9,7.9,42.4,70600,10.1,77300,19.4,910,3.9,33.4,35,מסורתי,2,1,14.3,38.5,78,74.7,8.8
אום אל-פחם,2710,12,12,3050,,,2,מוסלמים,99.4,,,41.7,52.9,5.5,891.5,24,23,26,45.2,84.5,,,,,,,,,,,24,26,21,2.4,9.3,66.8,15,58.2,87.9,11.8,37.1,11.4,43.9,74600,8.2,75700,10,720,4,33.8,36,דתי/ דתי מאוד,3,0.9,12.1,39.5,77.2,75.3,7.9
אום אל-פחם,2710,13,13,1670,,,2,מוסלמים,119.4,,,37.2,56.9,5.9,757.8,27,25,28,27.9,89.4,,,,,,,,,,,24,26,22,3,8.7,36.3,12.7,60.1,85.6,14.4,32.4,14.2,46.9,61000,4,74400,18.2,470,3.3,22,37.6,מסורתי,2,0.9,26.1,43.3,66.3,71.8,4.7
אום אל-פחם,2710,14,14,4290,,,2,מוסלמים,108,,,43,54.8,2.2,824.9,24,24,24,59.7,94.4,,,,,,,,,,,25,27,23,2.3,7.3,47.3,24.5,69.1,89.2,10.8,35.8,9.8,47.6,81800,14.3,108100,9.8,1040,4,41.1,29.1,מסורתי,2,1.2,14.3,44.9,75,75.8,6.3
אום אל-פחם,2710,15,15,2270,,,2,מוסלמים,93.7,,,38.9,55.7,5.4,795.6,26,26,25,48.3,87.2,,,,,,,,,,,24,25,23,2.6,15.7,76.3,11.8,56.8,85,15,32.3,10.6,39.9,62400,10.3,47900,4.6,650,3.3,25.7,31.3,מסורתי,2,1.1,28.3,34.3,64.5,70.8,8.4
אום אל-פחם,2710,21,21,4000,,,2,מוסלמים,88.7,,,33.1,56.8,10.1,760.1,28,24,33,33.1,79.9,,,,,,,,,,,23,25,21,2.9,20.2,64.6,3.6,44.9,90.6,9.4,33.6,,46.6,51600,2.9,30200,6,1070,3.5,17.3,40.4,דתי/ דתי מאוד,3,0.5,42,18.2,52,77.6,6.9
אום אל-פחם,2710,22,22,3550,,,2,מוסלמים,107.5,,,38.5,53.2,8.3,878.5,27,24,32,32.9,80.9,,,,,,,,,,,24,27,22,2.7,14.2,68.3,9.6,51.2,92.2,7.3,33.4,11.3,38.1,62000,3.4,71200,2.9,990,3.5,22.6,29.8,דתי/ דתי מאוד,3,0.7,32.5,20.5,54.3,73.8,11.8
אום אל-פחם,2710,31,31,2510,,,2,מוסלמים,105.2,,,37.9,55.9,6.2,788.9,25,25,25,35.3,87.6,,,,,,,,,,,24,27,22,2.5,17.5,66.5,7.9,53.6,90.1,9.9,37.2,,52.1,69900,5.5,95600,,630,3.8,22.6,45.2,מסורתי,2,0.8,24.6,32.4,62.4,77.2,7.1
אום אל-פחם,2710,32,32,3530,,,2,מוסלמים,97.8,,,42.2,53.7,4.1,861.1,24,24,24,48.1,92.2,,,,,,,,,,,25,27,21,2.4,9.8,53.9,19.4,57.9,87.7,11.3,35.6,2.7,44,94200,11,104600,19.2,930,3.6,32.1,31.3,מסורתי,2,1,20.7,31.9,82,81.4,5.3
אום אל-פחם,2710,33,33,4550,,,2,מוסלמים,99.5,,,41.2,53.7,5.1,861.7,24,24,24,45.9,85.9,,,,,,,,,,,23,25,21,2.9,10.9,59.7,11.9,55.5,86.6,12.5,37.2,8.7,37,62200,7.8,82900,10.2,1170,3.8,33.2,37.3,דתי/ דתי מאוד,3,0.9,25.5,29.9,69.2,75.2,9.2
אום אל-פחם,2710,34,34,3020,,,2,מוסלמים,106.1,,,41.1,53.6,5.3,866,24,24,25,44.5,92.3,,,,,,,,,,,23,24,21,3.2,11.8,38.7,8.2,53.1,88.8,10.8,33.8,10.8,34.7,53500,4.5,98000,14.3,760,3.8,29.2,31.9,מסורתי,2,0.6,26.8,25.9,61.8,74.8,8
אום אל-פחם,2710,35,35,2350,,,2,מוסלמים,112.3,,,27.4,67,5.5,492,28,26,30,31.4,87.7,,,,,,,,,,,24,26,21,2.4,12.9,53.2,10.9,56.5,87.3,10.7,34.7,,51.1,73000,5.8,71800,9.9,710,3.1,21.7,33.1,מסורתי,2,1,25.9,27.5,60.2,78.7,9.7
אום אל-פחם,2710,36,36,4810,,,2,מוסלמים,105.7,,,44,53.1,2.9,882,23,22,23,50.8,95.8,,,,,,,,,,,24,25,21,2.5,10,41.9,10.1,55,89.2,10.8,34.6,6.8,51.3,53700,7.1,97000,10,1200,3.9,35.8,39.1,דתי/ דתי מאוד,3,0.8,16,31.3,71.9,71.2,9.7
אום אל-פחם,2710,37,37,2790,,,2,מוסלמים,85,,,45.8,51.6,2.5,936.3,22,24,19,41.7,92.6,,,,,,,,,,,23,25,22,2.6,12.8,100,13.6,51.6,92.3,7.7,35.9,2.8,47.1,57200,5,130900,13,620,4.1,39.2,35.2,מסורתי,2,1,19.8,25.7,71.7,76.7,12.2
אום אל-פחם,2710,41,41,4150,,,2,מוסלמים,107.8,,,42.1,53,4.9,887.2,25,23,26,56.7,85.5,,,,,,,,,,,24,27,22,2.6,13.2,72.7,12.7,56.7,86.5,13.5,35.4,13.1,43.3,62000,7.4,81600,6.5,1020,3.9,39.4,31.2,מסורתי,2,0.9,22.8,33.4,73.1,83,6.7
אום אל-פחם,2710,42,42,2230,,,2,מוסלמים,93.9,,,43.7,52.1,4.2,920.3,22,22,22,38.6,88.5,,,,,,,,,,,23,26,21,2.6,12.7,68.4,7.3,43.5,93.1,6.9,33.6,,50.6,56900,9.3,128300,23.6,520,4.1,32.5,39.4,מסורתי,2,0.8,23.7,24.9,70.8,77.6,3.2
אום אל-פחם,2710,43,43,5020,,,2,מוסלמים,102,,,37.4,55.6,6.9,797.4,26,25,26,35.1,92.1,,,,,,,,,,,23,25,21,2.8,14.3,82,13.9,53.2,89,10.5,35.1,5.8,40.2,66200,9.1,75600,10,1280,3.8,27.8,32.1,מסורתי,2,0.9,24.2,33,76.2,84.2,5
אום אל-קוטוף,2024,,,1200,33.9,3986.4,2,מוסלמים,102.7,,,41.4,54.3,4.3,840.1,24,24,23,37.3,90.8,,,,,,,,,,,25,27,23,1.8,7.3,31.9,22.8,67.8,93.4,6.6,36.1,14.7,92.4,93600,5.7,50300,,330,3.7,31.3,36.5,דתי/ דתי מאוד,3,1.1,14.7,53,93.3,83.2,3.5
אום בטין,1358,,,4970,242,2685.3,2,מוסלמים,94.4,,,58.4,41,0.6,1440.1,17,17,16,53.7,85.8,,,,,,,,,,,22,23,21,2.5,4.9,80.6,6.5,37.9,92.7,5.7,37.4,,66.2,66100,3.2,169000,,1280,3.9,48.9,43.6,דתי/ דתי מאוד,3,0.3,57.7,5,58.4,85.9,1.1
אומן,1108,,,760,194.5,3805.3,1,יהודים,83.4,,,38.3,52.1,9.5,917.6,31,33,30,42.4,80.4,78.9,21.1,8.3,1.4,50.5,3.6,15.7,27.6,2.6,ישראל,25,26,24,1.9,7.7,23.1,24.8,74.4,88.6,11.4,41.1,,93.3,105500,16.1,106100,33.2,220,3.4,34.5,17.9,מסורתי,2,1.2,19.7,46,88,76.6,15.8
אומץ,680,,,810,31.9,2016.7,1,יהודים,128.6,,8.4,33.3,56.5,10.2,769,35,32,39,12,71.6,90.3,9.7,19.6,5.6,57.6,5.9,7.3,25,4.2,ישראל,26,27,26,2,4.8,15.9,36.1,82.9,79.8,20.2,40.8,12,69.4,155500,37.4,108400,39,240,3.1,19.6,24.1,חילוני,1,1.8,3.1,71.8,96.2,65.2,25.6
אופקים,31,,,35360,46,7244.9,1,יהודים,97.8,1.8,0.8,39.6,51.1,9.3,955.2,27,27,27,48.1,75.9,77.4,22.6,12.9,6.8,47.6,4.6,20.6,25.2,1.9,ישראל,23,25,22,2.6,9.5,42.4,14.3,68.5,92.1,7.8,37.4,8,52.5,91700,11.5,76000,13.2,10090,3.4,32,23,מסורתי,2,1.1,35.5,23.8,61.3,63.6,28.7
אופקים,31,1,1,5020,,,1,יהודים,95.9,,,30.1,55.8,14.1,793.2,32,31,34,28.9,76,63.7,36.3,15.7,9.1,29.8,4.2,24.7,40.2,1.1,ישראל,24,26,22,2.1,10,26.7,15.5,71.1,92.2,7.8,37.3,9,54.7,94100,11.2,55700,12.4,1500,3.2,20.7,25.6,מסורתי,2,1.1,30.7,26.5,62.4,61,29
אופקים,31,2,2,3770,,,1,יהודים,103.4,,,24.9,54.9,20.1,820.4,35,33,40,28,62.5,63.7,36.3,14.2,7.2,32.3,6.1,33,27.4,1.1,ישראל,23,25,21,2.9,19.6,55.8,11,62.9,91.5,7.8,39.2,4.4,53.5,92100,6.4,91100,13.7,1420,2.5,14.9,16.1,מסורתי,2,0.9,48.2,19.7,35.6,52.2,34.6
אופקים,31,3,3,2500,,,1,יהודים,85.3,,,32.3,53.9,13.8,855.3,30,30,30,23.4,50.5,68.9,31.1,15.6,7.2,38.2,6.3,25.6,27.9,2,ישראל,23,26,21,2.3,20,53.7,12.5,64.6,92.8,7.2,37,21.5,53.1,75300,5,163100,29.7,900,2.5,19.6,20.2,חילוני,1,0.8,44.4,13.3,37.3,49.2,44.9
אופקים,31,4,4+5,3040,,,1,יהודים,109.9,,,42,47.5,10.5,1105.2,24,23,24,53.7,86.6,86.3,13.7,12,6.3,57.6,5.9,20.7,11.7,4.1,ישראל,23,24,22,3.1,8,34.9,7.5,61.5,90.9,9.1,34.9,7.3,38.4,64300,7.6,52000,8.9,840,3.5,33.5,27.9,חרדי,4,0.7,48.6,15.6,47.5,64.2,28.7
אופקים,31,6,6,5300,,,1,יהודים,95.7,,,46.2,47.6,6.2,1101.8,22,20,22,57.9,76.2,86.8,13.2,7,3,59.8,5.2,17.4,15.1,2.5,ישראל,22,23,21,3,8.4,39.5,6.7,55.4,92.8,6.7,28.5,10.8,38.8,56700,4,43600,,1320,4,36.9,36.9,חרדי,4,0.7,66.4,4.8,31.4,55,39.4
אופקים,31,7,7,6250,,,1,יהודים,99.5,,,31.7,57.5,10.9,739.6,32,32,33,35.5,83,68.4,31.6,8.9,5.2,35.6,4.5,22.3,36.5,1.1,ישראל,23,25,22,2.3,8.7,40,14.8,71.5,92.7,7.3,38.6,10.7,51.4,98100,13.8,79900,24.7,1840,3.4,24,25.6,חילוני,1,1.3,20.8,34.8,81.5,74.1,17.2
אופקים,31,8,8,8510,,,1,יהודים,97.4,,,53.9,44.5,1.6,1244.7,16,15,16,73.2,82.9,90.3,9.7,17.1,8.5,64.2,3.1,13.2,17.2,2.3,ישראל,24,25,23,2.6,3.7,47.9,22.4,78.9,91.9,8.1,39.9,1.8,61.2,113900,17.3,79700,7.7,1920,4.4,58.9,16,מסורתי,2,1.4,17.3,34.4,93.4,74.2,22
אופקים,31,10,10,960,,,1,יהודים,90.1,,,45.1,53.4,1.5,872,26,26,27,83,72.6,84.6,15.4,13.8,4.8,52.4,4.5,13.3,29.3,0.6,ישראל,25,26,24,1.9,2.5,15.9,29.5,90.3,92.1,7.9,45.3,,69.9,153200,31.8,76000,12.4,270,3.6,67.5,8.9,חילוני,1,1.3,8.3,38.6,98.6,86.3,12.4
אור הגנוז,1294,,,680,55.7,3392.7,1,יהודים,104,1.6,,57.3,42.1,0.6,1374.5,17,19,16,25.5,96.1,95.6,4.4,14.9,7.4,71.9,4.6,9.7,5.2,8.6,ישראל,26,27,24,3,3.3,100,15.3,60.7,85.1,14.9,34,5.7,30.6,84800,6.4,62700,,130,5,38.2,33.4,חרדי,4,1.1,16.7,26,70.2,58.3,26.8
אור הנר,67,,,910,115.5,3481.4,1,יהודים,100.8,,2.4,37,49.2,13.8,1031.4,34,34,34,24.9,86.9,78.4,21.6,10.3,3.3,48.8,3.1,6.8,10.9,30.4,ישראל,26,28,25,2.1,5,20.2,37.1,78.9,82.3,13,42.2,24,67.5,125600,32.7,64400,28.4,290,3.1,29.4,15.9,חילוני,1,1.6,17.6,44.5,61.6,63.8,26.6
אור יהודה,2400,,,36850,4.8,11166.6,1,יהודים,96.8,1.1,3.5,30.8,55.4,13.8,805.2,34,34,34,36.9,72.1,75.2,24.8,14.8,3.8,39.8,17.2,10.6,31.4,0.9,ישראל,24,25,22,2.2,11.1,44.6,14.2,73.3,87.9,12,38.7,21,65.3,98700,13.7,76800,17.2,12040,3,20.6,21.9,מסורתי,2,1,25,31.1,61.5,64.9,27
אור יהודה,2400,12,12+11,4460,,,1,יהודים,101.2,,,28.2,57.3,14.5,746.1,35,35,34,36.4,60.7,83.2,16.8,5.7,1.6,46.5,23.2,12.7,17.1,0.6,ישראל,24,25,22,2.2,14.2,48.1,11.2,70.5,84.7,15.3,37.6,17.5,56.4,89900,7.5,54400,8,1500,2.8,21.3,19.2,מסורתי,2,0.8,26.3,30.8,52.2,44.3,34.6
אור יהודה,2400,13,13,410,,,1,יהודים,98,,,22.7,54.5,22.8,834.9,38,38,39,31.3,42.3,81.7,18.3,11.5,8.2,48.1,22.5,25.1,3.4,0.9,ישראל,24,25,22,2.6,14.7,35.9,18.2,62,80.8,19.2,44.1,,71.3,135000,11.6,83200,11.9,180,2.3,12.3,8,מסורתי,2,0.9,29.4,31.5,46.4,46.4,36.8
אור יהודה,2400,21,21,2870,,,1,יהודים,96.4,,,27.4,57,15.7,755.7,38,36,39,24.3,77.5,80.3,19.7,6.9,3.5,45.7,17.3,6.8,28,2.2,ישראל,25,27,23,2,7.8,31.9,25.3,72.7,86.5,13.5,40.3,10.4,78.1,140300,29.4,75400,14,1000,2.8,15.3,25.6,חילוני,1,1.5,16.6,44.4,97.6,70.1,24.1
אור יהודה,2400,22,22,2410,,,1,יהודים,85.6,,,28.1,46.2,25.7,1165.7,41,40,41,45.7,63.8,68.3,31.7,6.3,3.1,32.1,24.9,7.1,34.9,1,ישראל,23,25,22,2.5,15.2,56.3,6.9,67.1,92.5,7.5,34.2,28.9,58,79200,5.1,79400,19.6,690,2.9,19.3,13.4,מסורתי,2,0.6,42.3,16.8,15,59.7,34.3
אור יהודה,2400,23,23,3410,,,1,יהודים,97.9,,,31,56.1,12.9,782.8,33,33,34,38.6,67.7,67.4,32.6,20.7,5.1,31.1,15.9,11.1,41.3,0.6,ישראל,23,25,21,2.3,11.8,39.8,6.5,73,89.4,10.6,39.1,11.2,68.5,90600,6.9,71400,12.3,1140,2.9,19,23.9,מסורתי,2,0.9,29.8,16.2,30.5,67.8,27.8
אור יהודה,2400,24,24,3640,,,1,יהודים,93.7,,,29.5,57.2,13.3,748.2,35,36,33,42.4,68.1,63.7,36.3,17,3.6,27.8,13.1,9.2,49.3,0.6,ישראל,22,24,21,2.2,12.8,48.1,7.2,75,86.1,13.9,34.8,19.3,61.4,82700,4.1,63900,9.9,1160,3,19.7,21.3,מסורתי,2,0.7,30.7,16.7,39.6,65.5,29.2
אור יהודה,2400,25,25,3520,,,1,יהודים,108.1,,,27.7,57.6,14.7,737.4,36,33,39,25.4,78.3,77.3,22.7,3.2,0.9,37.5,17.6,6.5,37,1.3,ישראל,23,25,22,2.2,8.2,40.8,18.1,73.8,84.6,15.4,38.9,28.3,67,113200,19.2,97200,16.3,1140,3,14,25.4,מסורתי,2,1.3,10.1,39.6,96.1,79.1,16.2
אור יהודה,2400,26,26,2970,,,1,יהודים,96.1,,,25.8,57.6,16.6,737,37,35,40,27,84.9,80.8,19.2,5.2,2.7,42.7,19,9,28,1.3,ישראל,24,25,22,1.9,7.8,27.4,24.6,74,84.8,15.2,40,35.2,64.8,112600,24.2,107600,28.2,940,3.1,14.5,26.9,מסורתי,2,1.6,8.8,54.2,91,74.8,16.9
אור יהודה,2400,27,27,2370,,,1,יהודים,93.4,,,44.9,53.3,1.8,874.6,27,25,28,73.6,63.6,86.8,13.2,25.8,12,58.2,8.1,6.6,25.3,1.7,ישראל,26,28,25,1.6,2.6,,31.9,91.4,86.8,12.8,40,35.2,74.2,126800,26,105500,23.6,770,3.1,43.3,14,חילוני,1,1.5,6,51,99,44,52.9
אור יהודה,2400,31,31,1450,,,1,יהודים,94.8,,,30.7,54.1,15.2,848.9,33,32,33,35.9,60.8,76,24,28.3,2.3,42.2,21.2,19.8,16.5,0.3,ישראל,24,25,22,2.5,13.3,45.9,7.4,67.4,90.6,9.4,35.2,9.4,55,88600,3.7,87000,33.9,480,2.9,23,19.6,מסורתי,2,0.8,41.8,22.3,11.7,62.9,23
אור יהודה,2400,32,32+33,3150,,,1,יהודים,100.5,,,30.9,53.1,16,884.8,33,33,34,36.7,63.6,63.9,36.1,24,4.1,30.1,14.9,19.1,35.4,0.5,ישראל,24,25,22,2.3,18.3,57.6,6.4,65,94,6,39.7,7.9,58.2,83600,5.6,80900,23.6,1080,2.8,21.6,17.2,מסורתי,2,0.7,43.4,15.9,36.7,75.4,15.8
אור יהודה,2400,34,34,1510,,,1,יהודים,99.3,,,30.5,54.4,15.2,839.9,33,33,33,35.3,51.8,65.9,34.1,38.3,7.6,33.7,17.3,21.5,27.1,0.3,ישראל,24,25,23,2.7,21.1,69.8,2,66.3,94.7,5.3,35,29.1,55,78100,3.5,46700,,480,2.9,24.7,19.6,מסורתי,2,0.4,56.8,14.3,17,68.6,22.9
אור יהודה,2400,35,35,4670,,,1,יהודים,92.6,,,37,55.9,7.1,787.9,31,32,31,33.8,83.1,80.8,19.2,8.3,3.5,46,15.3,7,31,0.7,ישראל,24,26,22,2.1,7,41.9,15.7,78.9,90.6,9.4,42,18.9,70,115500,17.4,95700,26.7,1400,3.3,21.9,28.2,חילוני,1,1.2,14.8,40.6,95.8,72.7,23.7
אור עקיבא,1020,,,22170,36.1,7752.8,1,יהודים,96.8,1.3,2.1,30.6,55.1,14.3,814,35,33,36,37.5,67.7,63.3,36.7,15.1,9.7,31.6,4.4,15.6,47,1.5,ישראל,24,26,23,2.1,9.5,33.8,21.2,70,88.1,11.9,40.3,13.4,64.4,105700,15.1,68400,14.1,7950,2.7,18.9,18.9,חילוני,1,1.2,24.6,29.4,64,58.7,34.3
אור עקיבא,1020,2,2+1,5660,,,1,יהודים,96.5,,,40.5,51.3,8.2,951.2,31,30,32,46.3,76.5,76.7,23.3,16.9,10.1,43.1,4.7,15.5,34.8,1.9,ישראל,26,27,24,2,4.9,22.8,27.2,78.2,88.7,11.3,39.6,14.9,68,126000,21,83800,13,1810,3.1,27.3,17.6,חילוני,1,1.4,11.9,40.5,87.6,69.4,29.3
אור עקיבא,1020,3,3,2560,,,1,יהודים,93.4,,,23.3,57.1,19.6,751.5,41,38,44,26.9,41.7,50.6,49.4,15,9.5,18.3,4,13.8,63.1,0.8,רוסיה,23,25,22,2.1,17.7,37.5,10.7,56.7,95.7,4.3,37.1,11.3,54.9,86100,1.3,54500,16,980,2.4,13.8,23,חילוני,1,0.7,50.6,8.1,20,52.7,41.4
אור עקיבא,1020,5,5,4370,,,1,יהודים,108.5,,,26,55.7,18.3,795,36,32,41,27.6,61.8,69.2,30.8,11.7,6.2,35.9,6.6,29.4,27.1,0.9,ישראל,23,25,21,2.7,11.4,37.6,8.3,66,87.4,12.6,41.9,11.4,58.8,94800,8.2,71200,14.6,1550,2.5,14.2,23,מסורתי,2,0.8,34.3,22.7,44.5,49.4,33
אור עקיבא,1020,6,6,3050,,,1,יהודים,88.2,,,33.8,53.7,12.5,862.3,33,34,32,45.5,67.2,65.2,34.8,22,16,32.1,3.8,14.4,46.6,3.1,ישראל,25,26,23,2,9.3,38.9,23.1,70.8,87.4,12.6,43.7,10,66.4,114500,18.8,107600,30,1050,2.9,26.8,14.6,חילוני,1,1.4,7.8,38.1,90.7,56.2,39.9
אור עקיבא,1020,7,7,3510,,,1,יהודים,99.5,,,23.5,56.5,20.1,771.1,43,39,48,29.3,70.7,42.1,57.9,10.4,6.9,13.9,2.7,6.6,76.4,0.3,רוסיה,24,25,22,1.8,11.2,31,25.3,67.2,88.7,11.3,40.2,16.7,66.9,92700,11,68300,7.8,1300,2.7,10.6,17.1,חילוני,1,1.3,26.6,22.9,52.3,72.5,20.6
אור עקיבא,1020,8,8,1470,,,1,יהודים,87.6,,,20.7,61.7,17.6,621.2,42,41,43,32.2,77.7,48,52,13.5,8.6,17.9,3.7,11.9,65.9,0.6,רוסיה,23,26,22,2,10.9,34.7,23.5,65.2,85.8,14.2,37.4,12.8,61,113700,13.1,62400,5.7,580,2.5,11.9,24.6,חילוני,1,1.4,28.2,39.9,64.9,63.9,27.2
אור עקיבא,1020,9,9,1550,,,1,יהודים,92.5,,,37.8,58,4.2,725.2,29,28,29,54.7,68.5,76.6,23.4,30.1,20.6,49.3,3.8,7,36.4,3.5,ישראל,26,28,26,1.3,2.2,8,38.2,88,81.1,18.9,40.8,15.7,69.2,155600,33.3,56000,12.8,630,2.5,26.7,11.8,חילוני,1,1.6,10.7,39.4,95.7,35.7,64.3
אורה,780,,,1400,44.5,2251.7,1,יהודים,103.9,2.7,0.6,33.9,59.6,6.5,679,28,28,29,33.8,63.5,89.8,10.2,29.9,21.7,60.1,18.3,9.3,8.1,4.3,ישראל,26,27,25,1.5,2,9,31.1,79.2,76.9,22.3,41.8,19.6,86.9,126600,23.9,74300,21.2,480,2.8,21.4,19.2,חילוני,1,1.7,13.6,47.5,63.5,30.6,55
אורות,2012,,,540,23.9,1555.4,1,יהודים,95,,4.6,28.1,57.8,14.1,729.4,37,35,38,13.5,82.1,86.2,13.8,14.7,4.1,51.7,5,13.6,19.6,10.1,ישראל,26,27,24,2,3.9,17.9,31.4,77.3,72.7,26.9,33.1,26.2,59.7,108300,32,57800,,190,2.6,12.1,20.5,חילוני,1,1.6,7.3,56.2,86.7,54.1,38.3
אורטל,4013,,,370,19.9,1670.4,1,יהודים,113,,9.8,41.5,56.4,2.1,772.5,28,26,32,20,72,93.1,6.9,9.3,,71.4,5.1,5.2,12,6.2,ישראל,27,28,26,2.1,1.8,,41.4,93.1,76.2,7.7,42.6,65.2,56.9,107300,17.6,77900,15.4,100,3.2,30.2,17.9,חילוני,1,1.8,5,35.2,70.4,8.1,22.2
אורים,403,,,430,-13.8,1701.8,1,יהודים,96.7,,6.3,22.5,50.1,27.4,997.9,41,38,44,16.1,63.4,71.6,28.4,29.5,27.4,37.6,4.2,8.5,26.7,23.1,ישראל,25,26,24,2.1,10,13.4,34.6,63.7,80.6,6,41.4,35.7,44,98200,12.4,57300,,180,2.2,15.5,16.1,חילוני,1,1.5,25.2,18,34.3,13.3,29
אורנית,3760,,,9980,75.8,7391.8,1,יהודים,101.6,,0.4,36.9,54.5,8.5,834.8,29,28,32,23.9,83.6,89.4,10.6,15.7,8.4,60.9,9.2,7.7,18.6,3.6,ישראל,26,27,25,2,4.3,15.5,33.8,77.7,83.7,16.3,40.1,18.1,76.7,143700,35.9,100400,29.7,2960,3.4,20.7,28.1,חילוני,1,2.2,5.2,66.8,82.6,63.7,28.7
אורנית,3760,1,1,4370,,,1,יהודים,100.3,,,42.4,53,4.7,887.8,24,23,25,23.9,84.4,90.8,9.2,20.8,11.2,65.7,7.5,7.1,16.5,3.1,ישראל,26,27,25,1.9,3.4,17.1,37.3,79.8,84.5,15.5,40,17.8,77.8,152400,37.5,90500,30.6,1200,3.6,24.4,26.7,חילוני,1,2.2,1.1,72.4,81,58.9,35.4
אורנית,3760,2,2,3740,,,1,יהודים,104.6,,,31.4,55.7,12.9,795.2,35,34,37,26.6,80.1,87.3,12.7,10.4,6.4,55.2,10.5,7.8,21.8,4.7,ישראל,26,27,24,2.1,5.8,15.5,31.9,75.2,81.8,18.2,40.2,21,76.3,138500,33.1,107900,31,1200,3.1,16.9,27.2,חילוני,1,2,8.4,61.5,82.5,64.5,26.5
אורנית,3760,3,3,1870,,,1,יהודים,98.8,,,35.3,55.7,9,796,30,28,32,19,88,90.5,9.5,18.3,7.6,60.9,10.8,8.7,16.9,2.6,ישראל,26,27,25,2,3.4,13.6,30.6,78.3,85.5,14.5,40.2,13.5,75.5,145300,37.9,100400,25,550,3.4,21.2,33.1,חילוני,1,2.3,7.6,66.4,86.8,73.2,19.2
אושה,278,,,530,15.4,3100,1,יהודים,96.3,5.3,3,32,49.3,18.7,1028,37,36,37,47.4,79.9,85.7,14.3,12.8,7.7,54.7,8.4,6,25.9,5,ישראל,28,28,27,1.7,7.5,31.4,37.7,86.5,92.7,4.3,38.7,78.6,58.4,117700,26.3,75800,23.4,190,2.6,23.3,11.2,חילוני,1,1.6,26.9,34.6,48.9,44.9,13.2
אזור,565,,,13190,20.8,6764.6,1,יהודים,100.8,1.4,2.6,29.4,54.9,15.7,822.3,35,34,35,40.4,63.3,77.8,22.2,13.7,7.8,46.1,14.3,8.6,29.7,1.3,ישראל,24,26,23,2,9,28,20.3,73.5,84,15.9,40.6,14.9,75.2,112800,18.1,99600,24.6,4610,2.8,20.5,16.9,חילוני,1,1.3,14.9,40.9,52.4,53.1,38.8
אזור,565,1,1,3890,,,1,יהודים,99,,,27.8,52.5,19.7,905.2,37,36,37,34.6,73.3,78.2,21.8,11.1,6,46.4,15.9,9.1,27.2,1.4,ישראל,25,25,23,1.8,6.2,22.1,24.1,75.8,81.2,18.8,41.1,15.2,74.2,128000,23.3,123100,34.4,1290,2.8,15.5,20.1,חילוני,1,1.5,9.6,46.8,68,56.8,33.4
אזור,565,2,2,3600,,,1,יהודים,107.8,,,26.1,59,14.9,696,35,34,37,41.6,55.8,76.6,23.4,19.1,11.2,44.4,14.1,10.6,29.7,1.4,ישראל,24,26,22,1.9,12,37.7,15.9,69.5,82.2,17.8,39.1,12.8,76.8,102100,15.1,78500,24.3,1380,2.5,15.7,14,חילוני,1,1.2,23.4,34.3,40.9,45.4,48.2
